,Цена,Адрес,Цена за метр,"Площадь, кв.м",Расстояние от центра
1,10750000.0,"Москва,САО,Войковский район,4-й Войковский проезд,10•до центра 11,2 км",358333.0,30.000027907002703,11.2
2,9540210.0,"Москва,ЗАО,Филёвский Парк,улица Барклая,6•до центра 7,5 км",355978.0,26.799998876335053,7.5
3,15900000.0,"Москва,ЦАО,Пресненский район,Большой Кондратьевский переулок,4с1•В центре",369767.0,43.0000513837092,0.0
4,11716169.0,"Москва,ЗАО,Филёвский Парк,улица Барклая,6•до центра 7,5 км",333794.0,35.09999880165611,7.5
5,13500000.0,"Москва,ЗАО,Филёвский Парк,Кастанаевская улица,11•до центра 8,2 км",450000.0,30.0,8.2
6,8960562.0,"Москва,Новая Москва,дачный посёлок Кокошкино,НМАО",187577.0,47.77004643426433,0.0
7,8990000.0,"Москва,ЮВАО,Некрасовка,улица Недорубова,15•до центра 20,3 км",226448.0,39.70006359075814,20.3
8,8401208.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,2Ас1•до центра 12,1 км",363060.0,23.139998898253733,12.1
9,12000000.0,"Москва,ВАО,Гольяново,Байкальская улица,38к3•до центра 13,4 км",300000.0,40.0,13.4
10,11860450.0,"Москва,ЗАО,Филёвский Парк,улица Барклая,6•до центра 7,5 км",338870.0,35.0,7.5
11,14200000.0,"Москва,ЮАО,Чертаново Южное,Дорожная улица,28к1•до центра 17,4 км",227564.0,62.40002812395634,17.4
12,8571447.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,вл3с9•до центра 12,2 км",327780.0,26.15,12.2
13,10600000.0,"Москва,ЮВАО,Некрасовка,улица Льва Яшина,5к2•до центра 19,8 км",230435.0,45.999956603814525,19.8
14,8679280.0,"Москва,СЗАО,Митино,к1.4•до центра 19,4 км",204700.0,42.4,19.4
15,10850000.0,"Москва,СЗАО,Щукино,улица Народного Ополчения,43к1•до центра 9,3 км",230851.0,47.000012995395295,9.3
16,12698572.0,"Москва,ЗАО,Филёвский Парк,улица Барклая,6•до центра 7,5 км",330692.0,38.3999975808305,7.5
17,17500000.0,"Москва,ЗАО,Солнцево,Производственная улица,4•до центра 18,8 км",222646.0,78.60010959100994,18.8
18,20298276.0,"Москва,ЮАО,Москворечье-Сабурово,2-й Котляковский переулок,1с1•до центра 11,5 км",286173.0,70.93008774412681,11.5
19,29900000.0,"Москва,ЮАО,Чертаново Южное,улица Академика Янгеля,2•до центра 17,5 км",382353.0,78.19998796923262,17.5
20,12081537.0,"Москва,ЮАО,Москворечье-Сабурово,1-й Котляковский переулок,4А•до центра 11,3 км",385499.0,31.33999569389285,11.3
21,10100000.0,"Москва,ЮАО,Чертаново Центральное,Варшавское шоссе,142к1•до центра 16,2 км",267196.0,37.79996706537523,16.2
22,11891304.0,"Москва,СЗАО,Щукино,Волоколамское шоссе,24к2•до центра 10,8 км",228240.0,52.1,10.8
23,16000000.0,"Москва,САО,Восточное Дегунино,улица 800-летия Москвы,18•до центра 14,7 км",213049.0,75.10009434449351,14.7
24,8826707.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,4к1•до центра 12 км",316710.0,27.869997789776136,0.0
25,8300000.0,"Москва,ЮАО,Бирюлёво Западное,Булатниковская улица,11к1•до центра 19,3 км",231844.0,35.79993443867428,19.3
26,10247140.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,вл3с9•до центра 12 км",313560.0,32.67999744865416,0.0
27,13900000.0,"Москва,СВАО,Бибирево,улица Плещеева,1•до центра 14,7 км",265267.0,52.400034682037344,14.7
28,10472695.0,"Москва,САО,Коптево,Старокоптевский переулок,4•до центра 11,2 км",375500.0,27.89,11.2
29,23500000.0,"Москва,ЮАО,Чертаново Южное,улица Академика Янгеля,2•до центра 17,5 км",366044.0,64.19993224858214,17.5
30,23833195.0,"Москва,ЮАО,Москворечье-Сабурово,2-й Котляковский переулок,1с1•до центра 11,4 км",320597.0,74.34004373091452,11.4
31,17800000.0,"Москва,ЦАО,Тверской район,2-й Самотёчный переулок,2/4•В центре",481081.0,37.00000623595611,0.0
32,15726882.0,"Москва,ЮАО,Москворечье-Сабурово,2-й Котляковский переулок,1с1•до центра 11,4 км",366509.0,42.909947641122045,11.4
33,14000000.0,"Москва,СВАО,Свиблово,Лазоревый проезд,5к4•до центра 10,5 км",424242.0,33.000033000033,10.5
34,11349056.0,"Москва,СВАО,Марьина Роща,Октябрьская улица•до центра 5,2 км",296320.0,38.3,5.2
35,24500000.0,"Москва,ЦАО,Мещанский район,Средняя Переяславская улица,2•до центра 4 км",453704.0,53.999964734716905,0.0
36,8397845.0,"Москва,СВАО,Марьина Роща,Октябрьская улица•до центра 5,2 км",340960.0,24.630000586579072,5.2
37,10700000.0,"Москва,Новая Москва,НМАО,улица Василия Ощепкова,1•до центра 24,3 км",356667.0,29.999971962643027,24.3
38,11281230.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,вл3с9•до центра 12,1 км",346050.0,32.6,12.1
39,12000000.0,"Москва,СВАО,Ярославский район,улица Вешних Вод,6к1•до центра 12,7 км",227704.0,52.6999964866669,12.7
40,11009584.0,"Москва,Новая Москва,НМАО,66•до центра 20,6 км",221076.0,49.79999638133493,20.6
41,13100000.0,"Москва,САО,Западное Дегунино,Коровинское шоссе,23к1•до центра 15,1 км",287912.0,45.50001389313401,15.1
42,10008616.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,2Ас1•до центра 11,9 км",289350.0,34.58999827198894,11.9
43,13690000.0,"Москва,ЗАО,Кунцево,Партизанская улица,24•до центра 13,3 км",360263.0,38.00001665449963,13.3
44,25599420.0,"Москва,СЗАО,Хорошёво-Мнёвники,улица Нижние Мнёвники,3с1•до центра 11 км",554100.0,46.2,0.0
45,8900000.0,"Москва,ВАО,Новогиреево,Кусковская улица,21к2•до центра 10 км",275542.0,32.29997604720877,0.0
46,8656200.0,"Москва,ЮВАО,Южнопортовый район•до центра 5,7 км",384720.0,22.5,5.7
47,9500000.0,"Москва,Новая Москва,ТАО,Десятинная улица,7",151515.0,62.7000627000627,0.0
48,8583232.0,"Москва,Новая Москва,НМАО,66•до центра 20,6 км",252448.0,34.0,20.6
49,12954700.0,"Москва,ЮВАО,Некрасовка,Рождественская улица,33•до центра 20,1 км",197782.0,65.49989382249143,20.1
50,10861014.0,"Москва,СЗАО,Митино,к1.4•до центра 19,4 км",171580.0,63.3,19.4
51,4500000.0,"Москва,ЮАО,Даниловский район,Автозаводская улица,19к1•до центра 5,8 км",243243.0,18.5000185000185,5.8
52,15005526.0,"Москва,ЮАО,Москворечье-Сабурово,2-й Котляковский переулок,1с1•до центра 11,5 км",324093.0,46.30006201923522,11.5
